GEOID,total_households,zero_vehicle_households,car_ownership_rate
1400000US36047006700,2080,939,0.4514423076923077
1400000US36047006800,1917,975,0.5086071987480438
1400000US36047006901,1072,531,0.49533582089552236
1400000US36047006902,1123,765,0.6812110418521816
1400000US36047007000,1089,508,0.46648301193755737
1400000US36047007100,1478,920,0.6224627875507442
1400000US36047007200,833,511,0.6134453781512605
1400000US36047007400,2547,1681,0.6599921476246564
1400000US36047007500,2604,1488,0.5714285714285714
1400000US36047007600,1735,979,0.5642651296829971
1400000US36047007700,3680,1785,0.485054347826087
1400000US36047007800,2133,1467,0.6877637130801688
1400000US36047008000,1517,840,0.5537244561634805
1400000US36047008200,1845,1022,0.5539295392953929
1400000US36047008400,1639,1201,0.7327638804148872
1400000US36047008500,2138,1777,0.8311506080449018
1400000US36047008800,1559,1088,0.6978832584990379
1400000US36047009001,620,429,0.6919354838709677
1400000US36047009002,592,444,0.75
1400000US36047009201,1076,313,0.2908921933085502
1400000US36047009202,1329,1032,0.7765237020316027
1400000US36047009401,802,423,0.527431421446384
1400000US36047009402,1425,867,0.608421052631579
1400000US36047009600,2976,1711,0.5749327956989247
1400000US36047009800,2764,1885,0.6819826338639653
1400000US36047010000,2484,1329,0.535024154589372
1400000US36047010100,2553,1033,0.4046220133176655
1400000US36047010200,2097,1177,0.5612780162136385
1400000US36047010401,927,711,0.7669902912621359
1400000US36047010402,782,608,0.7774936061381074
1400000US36047010601,843,639,0.7580071174377224
1400000US36047010602,979,637,0.6506639427987743
1400000US36047010801,837,638,0.7622461170848268
1400000US36047010802,1051,584,0.5556612749762131
1400000US36047011000,903,452,0.5005537098560354
1400000US36047011200,2472,1317,0.5327669902912622
1400000US36047011400,1223,487,0.3982011447260834
1400000US36047011600,1432,556,0.388268156424581
1400000US36047011700,1574,905,0.5749682337992376
1400000US36047011800,920,766,0.8326086956521739
1400000US36047011901,823,388,0.47144592952612396
1400000US36047012000,443,119,0.2686230248306998
1400000US36047012100,1361,647,0.47538574577516535
1400000US36047012200,2233,1269,0.5682937751903269
1400000US36047012600,1433,603,0.4207955338450802
1400000US36047012700,2025,1318,0.6508641975308642
1400000US36047012801,857,324,0.3780630105017503
1400000US36047012901,1736,951,0.5478110599078341
1400000US36047012902,2722,1842,0.6767083027185893
1400000US36047013000,2222,1115,0.5018001800180018
