GEO_ID,NAME,B19013_001E,B19013_001M
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)
1400000US36047002901,Census Tract 29.01; Kings County; New York,22855,8873
1400000US36047003000,Census Tract 30; Kings County; New York,130473,16352
1400000US36047003101,Census Tract 31.01; Kings County; New York,158500,38103
1400000US36047003102,Census Tract 31.02; Kings County; New York,-,**
1400000US36047003300,Census Tract 33; Kings County; New York,136217,53315
1400000US36047003400,Census Tract 34; Kings County; New York,113143,20523
1400000US36047003500,Census Tract 35; Kings County; New York,123417,24195
1400000US36047003600,Census Tract 36; Kings County; New York,91583,11681
1400000US36047003700,Census Tract 37; Kings County; New York,181404,24545
1400000US36047003800,Census Tract 38; Kings County; New York,135313,24462
1400000US36047003900,Census Tract 39; Kings County; New York,187273,62103
1400000US36047004100,Census Tract 41; Kings County; New York,229002,5146
1400000US36047004300,Census Tract 43; Kings County; New York,161875,29859
1400000US36047004400,Census Tract 44; Kings County; New York,142143,21896
1400000US36047004500,Census Tract 45; Kings County; New York,189833,51460
1400000US36047004600,Census Tract 46; Kings County; New York,134773,122253
1400000US36047004700,Census Tract 47; Kings County; New York,145341,35057
1400000US36047004900,Census Tract 49; Kings County; New York,166667,27430
1400000US36047005000,Census Tract 50; Kings County; New York,134013,39125
1400000US36047005100,Census Tract 51; Kings County; New York,178913,40021
1400000US36047005201,Census Tract 52.01; Kings County; New York,40789,38693
1400000US36047005202,Census Tract 52.02; Kings County; New York,107143,6810
1400000US36047005301,Census Tract 53.01; Kings County; New York,126071,24385
1400000US36047005302,Census Tract 53.02; Kings County; New York,139609,24715
1400000US36047005303,Census Tract 53.03; Kings County; New York,203750,64651
1400000US36047005400,Census Tract 54; Kings County; New York,85342,13116
1400000US36047005601,Census Tract 56.01; Kings County; New York,104598,33386
1400000US36047005602,Census Tract 56.02; Kings County; New York,96397,18376
1400000US36047005800,Census Tract 58; Kings County; New York,77648,12807
1400000US36047005900,Census Tract 59; Kings County; New York,110288,24838
1400000US36047006000,Census Tract 60; Kings County; New York,88542,23522
1400000US36047006200,Census Tract 62; Kings County; New York,83500,33005
1400000US36047006300,Census Tract 63; Kings County; New York,188519,14129
1400000US36047006400,Census Tract 64; Kings County; New York,98846,39488
